ID,Homepage _Duration,Aboutus_Duration,Contactus,BounceRates,ExitRates,PageValues,SpecialDay,TrafficType,Weekend,Nov,A,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,New_Visitor,Other,Returning_Visitor
1,0,0,1,0.2,0.2,0,0,1,FALSE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,0,0,24,0,0.016666667,0,0,2,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3,0,0,13,0.015384615,0.053846154,0,0,1,FALSE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,84,0,59,0.026984127,0.038231522,0,0,3,TRUE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
5,0,0,13,0.038461538,0.053846154,0,0,13,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
6,0,0,12,0.008333333,0.033333333,0,0,6,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
7,86.33333333,0,14,0,0.023076923,0,0,2,FALSE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
8,0,0,5,0,0.008,0,0,13,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
9,0,0,50,0.007843137,0.015686275,0,0,4,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
10,32.5,62.5,80,0.005714286,0.027420635,7.530107143,0.8,4,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
11,0,0,9,0.022222222,0.072222222,0,0,2,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
12,0,0,30,0.002758621,0.022660099,0,0,8,TRUE,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
13,0,0,15,0.02,0.032222222,0,0,1,FALSE,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
14,0,0,35,0,0.002857143,0,0,2,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
15,0,0,0,0.2,0.2,0,0,15,FALSE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
16,0,0,4,0.1,0.15,0,0,1,FALSE,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
17,0,0,28,0.003846154,0.017948718,0,0,2,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
18,80.6,112.8,10,0,0.015384615,0,0,20,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
19,0,0,12,0,0.016666667,287.9537928,0,2,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
20,46.4,0,16,0,0.011111111,46.33991252,0,2,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
21,0,0,3,0.044444444,0.111111111,0,0.8,1,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
22,79.5,31.5,65,0.002898551,0.019031516,0,0,2,FALSE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
23,45,0,9,0,0.018181818,0,0,1,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
24,352.2428571,241.5,45,0.009090909,0.01644733,2.842307011,0,2,TRUE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
25,275.9104437,606.75,47,0.007377049,0.019090804,9.417272131,0,6,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
26,0,0,15,0,0.04,0,0,1,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,443.2916667,0,74,0.007028112,0.016930138,1.119759036,0.8,1,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
28,0,0,15,0.08,0.091555556,0,0.6,13,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
29,548.3142857,448.5,102,0.00173913,0.01470751,0,0,4,TRUE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
30,0,0,6,0.066666667,0.116666667,0,0,3,FALSE,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
31,112.5,0,86,0.000387597,0.00786268,5.911452178,0,2,FALSE,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
32,844,0,6,0.05,0.075,0,0.6,2,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
33,0,0,2,0,0.1,0,0,2,TRUE,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
34,46.4,0,8,0.02,0.08,0,0,1,FALSE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,304,0,31,0.015625,0.0515625,0,0,1,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
36,0,0,17,0.011111111,0.033333333,0,0,3,FALSE,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
37,65.5,0,27,0.014285714,0.023809524,0,0,1,FALSE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
38,161.7083333,0,126,0.004511278,0.01597088,2.776907268,0.6,3,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
39,633.5,0,28,0,0.017027417,0,0,2,TRUE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
40,0,0,19,0,0.005263158,0,0,2,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
41,41,0,43,0,0.013636364,0,0,1,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,0,0,48,0.004347826,0.025362319,9.127391304,0,2,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
43,0,0,39,0.005405405,0.028828829,9.922972973,0.6,3,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
44,0,0,18,0,0.05,0,0,1,FALSE,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
45,22.2,0,5,0.066666667,0.066666667,0,0,20,FALSE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
